Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
ESC Services,https://www.crunchbase.com/organization/esc-services,Security,"Franklin, Wisconsin, United States",ESC Services is an engineering firm focused on creating graphical lockout-tagout procedures and components.,"320,206",2003-01-01,year,https://www.escservices.com/,hmg@escservices.com,,11-50,,,,,,,,,,Private,,,,,,
"Amata, Inc.",https://www.crunchbase.com/organization/amata-inc,"Electronics, Security","Englewood, Colorado, United States","Amata, Inc. is a provider of state-of-the-art security systems for critical facilities and infrastructure.","354,312",2003-01-01,year,http://www.amatainc.com/,,,,,,,,,,,,,Private,,,,,,
BitArmor Systems,https://www.crunchbase.com/organization/bitarmor-systems,"Data Visualization, Security, Software","Pittsburgh, Pennsylvania, United States",BitArmor Systems is a Pittsburgh-based company providing information-centric data security software.,"355,166",2003-01-01,month,http://www.bitarmor.com,info@bitarmor.com,,5001-10000,2009-04-20,5000000,USD,5000000,6750000,USD,6750000,Series B,,Private,,,,,,
Seclarity,https://www.crunchbase.com/organization/seclarity,"Communications Infrastructure, Network Security, Operating Systems","San Mateo, California, United States","Seclarity makes security solutions that are by design simple, universal, and easily manageable.","371,933",2003-01-01,year,http://www.seclarity.com/,,,,2003-10-17,3000000,USD,3000000,3000000,USD,3000000,Series A,,Private,,,,,,
Urban Alarm,https://www.crunchbase.com/organization/urban-alarm,Security,"Washington, District of Columbia, United States","Urban Alarm, a local security provider.","378,357",2003-01-01,year,http://www.urbanalarm.com/,,,11-50,,,,,,,,,,Private,,,,,,
IdMlogic,https://www.crunchbase.com/organization/idmlogic,"Identity Management, Professional Services, Social Network","New York, New York, United States",IdMlogic is an independent professional services company focused on Identity & Access Management.,"382,973",2003-01-01,year,http://sigma.idmlogic.com/,,2,5001-10000,,,,,,,,,,Private,,,,,,
Silver Shield Security,https://www.crunchbase.com/organization/silver-shield-security,Security,"San Jose, California, United States",Silver Shield Security’s objective is to provide World Class Security Solutions and to be the employer of choice for World Class Security,"478,792",2003-01-01,year,http://www.silvershieldsecurity.com,customerservice@silvershieldsecurity.com,,501-1000,,,,,,,,,,Private,,,,,,
netZentry,https://www.crunchbase.com/organization/netzentry,"Information Technology, Internet, Security","Palo Alto, California, United States","netZentry develops network security, distributed denial of service attack detection, and mitigation solutions.","485,223",2003-01-01,year,,,,,2005-05-02,6000000,USD,6000000,6000000,USD,6000000,Series A,,Private,,,,,,
TurnTide,https://www.crunchbase.com/organization/turntide,Security,"Rochester, Kent, United Kingdom",TurnTide is an anti-spam technology company based in Pennsylvania.,"487,637",2003-01-01,year,,,9,,2003-01-01,750000,USD,750000,750000,USD,750000,Series A,,Private,,,,,,
Sentinel Vision,https://www.crunchbase.com/organization/sentinel-vision,"Data Center, Mobile, Security","Palo Alto, California, United States","Sentinel Vision, Inc. provides security alarm notification and verification systems and services.","508,288",2003-02-01,day,,,,,2006-02-24,1100000,USD,1100000,1850000,USD,1850000,Series B,,Private,,,,,,
SDA Security,https://www.crunchbase.com/organization/sda-security,Security,"San Diego, California, United States",SDA Security is a security and investigations company providing burglary and theft prevention services.,"517,026",2003-01-01,year,http://www.sdasecurity.com/,,,501-1000,,,,,,,,,,Private,,,,,,
Piranha Security,https://www.crunchbase.com/organization/piranha-security,"Commercial, Security","Johannesburg, NA - South Africa, South Africa","Piranha Security is provides guarding, armed reaction, and in-house technical security services.","541,521",2003-01-01,year,http://www.piranhasecurity.com/,,,,,,,,,,,,,Private,,,,,,
Twingo Systems,https://www.crunchbase.com/organization/twingo-systems,"Network Security, Software","Mountain View, California, United States",Twingo Systems is a provider of desktop security solutions.,"542,979",2003-01-01,year,https://www.twingosystems.com,,4,,,,,,,,,,,Private,,,,,,
Connect,https://www.crunchbase.com/organization/connect-3,"Home Services, Security","Redwood City, California, United States",Connect provides an interactive security and home automation platform.,"569,387",2003-01-01,year,,,,,,,,,,,,,,Private,,,,,,
Trusted Network Technologies,https://www.crunchbase.com/organization/trusted-network-technologies,Network Security,"Alpharetta, Georgia, United States","Trusted Network Technologies, Inc. provides visibility and policy assurance for physical and virtual IT environments.","580,342",2003-01-01,year,,,,,2003-06-16,6000000,USD,6000000,6000000,USD,6000000,Series A,,Private,,,,,,
Personal Service og Sikkerhet,https://www.crunchbase.com/organization/personal-service-og-sikkerhet,"Commercial, Security","Sandnes, Rogaland, Norway",Personal Service og Sikkerhet is provides security services.,"591,459",2003-01-01,year,http://www.pss-as.no/,,,,,,,,,,,,,Private,,,,,,
Quantum Telecom,https://www.crunchbase.com/organization/quantum-telecom,"Infrastructure, Network Security, Telecommunications","Tres Alquerías, Islas Baleares, Spain",Quantum Telecom provides telecom services in Spain.,"603,347",2003-01-01,year,http://www.quantumtelecom.es/,,,,,,,,,,,,,Private,,,,,,
PSGA,https://www.crunchbase.com/organization/psga,"Commercial, Consulting, Security","Melbourne, Victoria, Australia","PSGA is provides security services, including guarding and security consulting and investigation services.","656,707",2003-01-01,year,http://www.pinkerton.com.au/,,,,,,,,,,,,,Private,,,,,,
Sagge,https://www.crunchbase.com/organization/sagge,"Navigation, Security","Champagne-au-mont-d'or, Rhone-Alpes, France","Sagge designs, develops, and markets telematics products.","711,063",2003-01-01,year,,,,,2005-02-07,580000,USD,580000,580000,USD,580000,Series A,,Private,,,,,,
Vo2 Networx,https://www.crunchbase.com/organization/vo2-networx,"Network Security, Telecommunications",,"VO2 Networx and BCI will provide the best solution at every stage of the business planning process, delivering fanatical customer service ","735,825",2003-01-01,year,,,,,,,,,,,,,,Private,,,,,,
Evirta Oy,https://www.crunchbase.com/organization/evirta-oy,"Electronics, Security","Turku, Western Finland, Finland",Evirta Oy provides warning and building monitoring security systems. ,"741,446",2003-01-01,year,,,,,2003-01-01,,,,,,,Seed,,Private,,,,,,
SCP International,https://www.crunchbase.com/organization/scp-international,"Commercial, Security","Beograd, Vojvodina, Serbia",SCP International is provides security services in Serbia.,"745,464",2003-01-01,year,http://www.scpint.com/,,,,,,,,,,,,,Private,,,,,,
ProtectPoint,https://www.crunchbase.com/organization/protectpoint,Security,,Network security,"749,153",2003-01-01,year,,,,,,,,,,,,,,Private,,,,,,
FireEye,https://www.crunchbase.com/organization/fireeye,"Cloud Security, Cyber Security, Network Security","Milpitas, California, United States",FireEye is an intelligence-led security company that protects customers with innovative technology and expertise from the front lines.,116,2004-01-01,year,https://www.fireeye.com/,info@fireeye.com,"2,994",1001-5000,2014-01-10,739265776,USD,739265776,840945776,USD,840945776,Post-IPO Equity,2013-09-20,Public,303500000,USD,303500000,FEYE,https://www.crunchbase.com/ipo/fireeye-ipo--9d254b42,192
Venafi,https://www.crunchbase.com/organization/venafi,"Cyber Security, Enterprise Software, Security","Salt Lake City, Utah, United States",Venafi is a cybersecurity company automating security for all keys and certificates.,998,2004-01-01,year,http://www.venafi.com,info@venafi.com,195,251-500,2018-11-29,100000000,USD,100000000,167199997,USD,167199997,Series G,,Private,,,,,,21
Ideanomics,https://www.crunchbase.com/organization/you-on-demand-holdings,"Artificial Intelligence, Blockchain, Digital Marketing, Financial Services, Information Technology, Marketing Automation, Media and Entertainment, Payments, Supply Chain Management","New York, New York, United States",A fintech company that combines deal origination & enablement with technologies using AI & others to form next-gen smart financial services,"1,414",2004-01-01,year,http://www.ideanomics.com/,info@ideanomics.com,16,51-100,2018-10-10,5200000,USD,5200000,70200000,USD,70200000,Post-IPO Equity,2004-06-08,Public,,,,IDEX,https://www.crunchbase.com/ipo/you-on-demand-holdings-ipo--ae9eee4c,
A10 Networks,https://www.crunchbase.com/organization/a10-networks,"Cloud Computing, Hardware, Security, SEO, Virtualization, Web Hosting","San Jose, California, United States","A10 Networks offers solutions for accelerating web application delivery, bandwidth management and network identity issues.","1,466",2004-10-01,day,http://www.a10networks.com,inquire@a10networks.com,113,501-1000,2016-12-02,25000000,USD,25000000,143000000,USD,143000000,Post-IPO Debt,2014-03-21,Public,187500000,USD,187500000,ATEN,https://www.crunchbase.com/ipo/a10-networks-ipo--2e4ecf6a,156
Tufin,https://www.crunchbase.com/organization/tufin,"Cloud Computing, Information Technology, Network Security","Boston, Massachusetts, United States","Tufin specializes in the management of network layer firewalls, routers, switches, load balancers, and other network security devices.","2,525",2004-01-01,year,http://www.tufin.com/,susan.rivera@tufin.com,62,251-500,2014-12-09,8000000,USD,8000000,30000000,USD,30000000,Series D,2019-04-10,Public,108000000,USD,108000000,TUFN,https://www.crunchbase.com/ipo/tufin-ipo--45ce2a37,
Gigamon,https://www.crunchbase.com/organization/gigamon,"Data Center, Network Security, Web Hosting","Milpitas, California, United States","Gigamon provides intelligent traffic visibility solutions for enterprises, data centers and service providers worldwide.","3,126",2004-07-01,day,http://www.gigamon.com,info@gigamon.com,176,251-500,2010-02-03,22800000,USD,22800000,22800000,USD,22800000,Series A,2013-06-21,Delisted,128250000,USD,128250000,GIMO,https://www.crunchbase.com/ipo/gigamon-ipo--e8b4181e,73
iboss,https://www.crunchbase.com/organization/iboss,"Cloud Computing, Cyber Security, Network Security, Security, Software","Boston, Massachusetts, United States",iboss created the only web gateway as a service specifically designed to solve the challenge of securing distributed organizations.,"3,704",2004-06-04,day,https://www.iboss.com,marketing@iboss.com,9,101-250,2015-11-03,35000000,USD,35000000,35000000,USD,35000000,Series A,,Private,,,,,,
RedSeal,https://www.crunchbase.com/organization/redseal-systems,"Analytics, Computer, Cyber Security, Mobile, Security","Sunnyvale, California, United States",RedSeal develops security risk management (SRM) software and solutions and helps companies eliminate cyber threats.,"3,962",2004-01-01,year,https://www.redseal.net/,info@redseal.co,3,101-250,2019-04-10,60000000,USD,60000000,135699999,USD,135699999,Private Equity,,Private,,,,,,
Mocana,https://www.crunchbase.com/organization/mocana,"Cyber Security, Enterprise Software, Information Technology, Manufacturing, Mobile, Security","San Francisco, California, United States","Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.","4,586",2004-01-01,year,http://www.mocana.com,sales@mocana.com,95,101-250,2019-03-04,15000000,USD,15000000,95737075,USD,95737075,Series G,,Private,,,,,,5
Prevalent Networks,https://www.crunchbase.com/organization/prevalent-networks,"Information Services, Network Security, Software","Warren, New Jersey, United States","Prevalent was founded two goals in mind. First, to work with the leaders in information security","6,686",2004-01-01,year,http://prevalent.net,info@prevalent.net,3,11-50,2016-11-17,60000000,USD,60000000,72000000,USD,72000000,Series C,,Private,,,,,,0
DFLabs,https://www.crunchbase.com/organization/dflabs,"Cyber Security, Network Security","Milano, Lombardia, Italy",DFLabs is an ISO9001 certified company specializing in Security Automation and Orchestration Technology,"11,417",2004-10-01,day,http://www.dflabs.com,info@dflabs.com,17,11-50,2018-02-07,3500000,USD,3500000,9000000,USD,9000000,Series A,,Private,,,,,,
Mandiant,https://www.crunchbase.com/organization/mandiant,"Information Technology, Network Security, Security","Alexandria, Virginia, United States","Mandiant, is an information security company, provides incident response and computer forensic solutions and services.","16,964",2004-01-01,year,http://www.mandiant.com,support@mandiant.com,696,251-500,2011-07-22,70000000,USD,70000000,70000000,USD,70000000,Private Equity,,Private,,,,,,
Tyfone,https://www.crunchbase.com/organization/tyfone,"Banking, Cyber Security, Finance, Mobile, Security","Portland, Oregon, United States",Tyfone offers a mobile financial services platform that enables banks to offer customers mobile banking and payments systems.,"17,310",2004-01-01,year,http://tyfone.com,contact08@tyfone.com,3,51-100,2015-05-28,6600000,USD,6600000,13700000,USD,13700000,Series C,,Private,,,,,,82
